搜索字段,商品名称,价格,店铺名称,颜色,评论数,图片,店铺ID,卖点,skuId,总销量,商品ID
电脑电源 500W 自营,大水牛（BUBALUS）额定500W FX500金牌台式电脑主机电源（80PLUS认证/主动式PFC/宽幅/背线/12CM智能温控风扇）,219.00,大水牛京东自营旗舰店,金牌FX500W,2万+,jfs/t1/350577/13/6412/72235/68d2089fF295f697c/8e3e42567ea2aa1b.jpg,1000000707,主动式PFC;支持5060;五年质保;稳定供电;宽幅输出;智能温控;宽幅适应;高效转换;超静音设计;方便接线,100006102203,2万+,100006102203
电脑电源 500W 自营,爱国者（aigo）黑暗骑士DH500W白牌 黑色 台式机电脑电源 80PLUS认证/单路12V/压纹线/可走背线GP500,149.00,爱国者DIY京东自营旗舰店,白牌|DH500W黑|可走背线,20万+,jfs/t1/277858/16/23052/62513/6801ba0eF4fb249ef/4e518401e9e76cd9.jpg,1000000416,500W白牌;压纹线;大单路12V;白牌品质;抗干扰性能强;高效转换;适配多种设备;压纹线材;优质黑色外观;安全可靠供电,100107041538,40万+,100107041538
电脑电源 500W 自营,大水牛劲强500W台式电脑电源,129.00,大水牛京东自营旗舰店,劲强500W,20万+,jfs/t1/389586/17/9876/73140/697c75eaF06c07f54/008332032097c716.jpg,1000000707,智能温控;温控风扇;支持5060;标准ATX,100002728811,70万+,100002728811
电脑电源 500W 自营,硕一（soeyi）魔霸650 台式机电脑主机箱ATX电源500W 400W  DC-DC 魔霸650【额定500W】,99.00,硕一（soeyi）旗舰店,魔霸650【额定500W】,200+,jfs/t1/404386/21/14208/82727/69bb47f4F907d9244/0083320320ef84e4.png,16784527,顺丰发货;三年质保;越级用料;拒绝虚标;500W功率;ATX标准,10209662559302,400+,10209662559302
电脑电源 500W 自营,爱国者（aigo）猎影HUNT500 额定500W 台式电脑电源 主动式PFC/宽幅输出/高品质电容/支持背线/大单路12V,139.00,爱国者DIY京东自营旗舰店,新品|猎影HUNT500W|安规,20万+,jfs/t1/419417/20/3591/96695/69dc92efF945dc644/00833203209f6770.jpg,1000000416,独立IO开关;额定500W;高品质电容,100256515043,40万+,100256515043
电脑电源 500W 自营,先马（SAMA）平头哥650 额定500W 台式主机箱电脑电源 主动PFC/单路+12V/智能温控/12cm风扇/长线材/安全稳定,129.90,先马SAMA京东自营旗舰店,平头哥650黑 | 压纹线/三年换新,20万+,jfs/t1/408308/37/4987/88395/69c245b6F5331639f/0083320320e01493.jpg,1000000423,智能温控;高效静音;适配广泛;额定500W,100036669654,20万+,100036669654
电脑电源 500W 自营,大水牛（BUBALUS）瑞博+劲强500W机箱电源套装(支持ATX主板/支持光驱/多硬盘兼容/USB3.0/显卡限长330mm/背部走线),209.00,大水牛京东自营旗舰店,瑞博ATX/配劲强500W,5万+,jfs/t1/271588/30/2439/47822/67d29100F1c56322b/9a57f113ddf57fc1.jpg,1000000707,配500W电源;支持ATX主板;支持光驱;背部走线;多硬盘位;USB3.0;ATX标准型;迷你ITX;光驱支持,100155622009,10万+,100155622009
电脑电源 500W 自营,半岛铁盒（PADO）额定500W 战戟PSR650 黑色 台式电脑主机电源（主动式PFC/智能温控/12CM风扇/支持背线）G500,128.00,半岛铁盒（PADO）京东自营旗舰店,PSR650黑/500W/直出线,5000+,jfs/t1/237075/34/13081/80401/65ea7d45F0eb3939f/3727bb0a799b00ac.jpg,1000343082,主动式电源;智能温控风扇;安规3C;背线支持;智能温控;500W功率;高效能;稳定输出;背线设计;强劲功率,100114714501,7000+,100114714501
电脑电源 500W 自营,Thermaltake（Tt）额定500W Smart 500W 电脑电源（80PLUS认证/主动式PFC/智能温控风扇/支持背线）,174.00,Thermaltake京东自营旗舰店,Smart 500W - 80PLUS认证,1万+,jfs/t1/424130/24/19127/152696/69f2ea50Fa28bf911/00835a05a021adcd.jpg,1000000692,智能温控;PLUS认证;主动式PFC;兼容性强;高质量组件;500W功率;白牌认证;标准ATX;稳定输出;背线管理,100077880751,1万+,100077880751
电脑电源 500W 自营,台达（DELTA）额定500W  VX500台式机电脑电源（主动式PFC/五年质保/12CM风扇/宽幅/支持背线),289.00,台达京东自营旗舰店,【VX500W/五年质保】,2万+,jfs/t1/257210/27/693/94125/6763dc76Fd90aba91/60d0089ae0150340.jpg,1000006101,静音设计;稳定耐用;支持背线;尽享游戏;稳压供电;500W强劲;五年质保;12CM风扇;宽幅适配;高效节能,864431,1万+,864431
电脑电源 500W 自营,爱国者（aigo）黑暗骑士DH500W白牌 白色 台式机电脑电源 80PLUS认证/单路12V/压纹线/可走背线GP500,159.00,爱国者DIY京东自营旗舰店,白牌|DH500W白|可走背线,20万+,jfs/t1/282567/33/21647/65061/6801ba0eF743cec39/f43e463b7895bd73.jpg,1000000416,短路保护;压纹扁线;500W白牌;走背线布局;优化散热;大单路12V;高规格电容;快速接线;可靠性能;压纹线设计,100112591692,40万+,100112591692
电脑电源 500W 自营,影驰额定500W游戏高手GM500电脑电源（80PLUS白牌/主动PFC/单路12V/智能温控/支持背线/多重保护),149.00,影驰机电散京东自营旗舰店,游戏高手500W,2000+,jfs/t1/131747/12/47876/151612/66e54116Fc55fbb95/5f4dd8685ea35724.jpg,1000444641,用料足;高性价比;转换效率高;背线支持;智能温控;白牌认证;适配背线设计;标准ATX;多重保护;单路12V,100119666073,2000+,100119666073
电脑电源 500W 自营,Thermaltake（Tt）启航者F4 机箱电源套装台式机电脑主机（含500W电源/支持MATX主板/钢化玻璃侧透/背线）,289.00,Thermaltake京东自营旗舰店,机电套装 F4机箱+500W电源,1万+,jfs/t1/378875/2/6730/202441/694390fbF52cf9cd9/24a84684f1797e72.jpg,1000000692,机电套装;小巧精致;玻璃侧透;精致外观;支持MATX;兼容性强;空间优化;高效供电;背线整理;背线设计,100056022959,2万+,100056022959
电脑电源 500W 自营,安钛克(Antec)VP500 台式机电脑主机机箱电源500W/50万好评,269.00,安钛克Antec京东自营旗舰店,VP经典/53万好评/三年换新,50万+,jfs/t4636/12/4547143022/251377/21a31cb2/59102a88N87eb76c2.jpg,1000000415,高效率转化;游戏办公;加长线材;500W输出;优质散热性能;标准尺寸;ATX规格;超静音设计;稳定电流保护;50万好评信赖,840370,10万+,840370
电脑电源 500W 自营,半岛铁盒（PADO）额定500W 战戟PSR650 白色 台式机电脑主机电源（主动式PFC/智能温控/双管正激/支持背线）G500,124.00,半岛铁盒（PADO）京东自营旗舰店,PSR650白/500W/直出线,5000+,jfs/t1/95512/5/45277/93605/6621eb65F7c9c9555/b055ce0de18c2722.jpg,1000343082,安规电源;智能温控风扇;节能省电;转换效率高;适用广泛;智能温控;非模组化;高效93%;主动式PFC;ATX标准,100096347305,7000+,100096347305
电脑电源 600W 自营,长城（Great Wall）额定600W HOPE-7000DS电脑电源（双8PIN/75cm长线材/宽幅/温控风扇/独立开关）,239.00,长城 GreatWall 京东自营旗舰店,600W直出【HOPE-7000DS 温控】,50万+,jfs/t1/302100/14/24802/115617/688acd73F7f10eb7c/08b90c3ea8a97773.jpg,1000007264,广泛兼容;节能环保;卓越性能;稳定供电,1237194,90万+,1237194
电脑电源 600W 自营,爱国者（aigo）黑暗骑士750DK 额定600W白牌 台式机电脑电源 主动式PFC/80PLUS认证/高品质电容/支持背线GP600xy,189.00,爱国者DIY京东自营旗舰店,新升级白牌|750DK|额定600W,20万+,jfs/t1/416891/28/21178/324665/69e1f1abF44c6fe8e/0083320320ae8e49.jpg,1000000416,80PLUS白牌;额定600W;背线设计;高品质电容;ATX标准;白牌600W;主动式PFC,100240476409,40万+,100240476409
电脑电源 600W 自营,鑫谷（segotep）GP600W黑金版电源（80plus金牌/日系电容/温控风扇/宽幅台式电脑主机箱电源）,369.00,鑫谷京东自营旗舰店,GP600W黑金版,20万+,jfs/t1/210445/3/41789/110927/6617aa06Ffa209bce/0ab756c9a00952fc.jpg,1000005668,日系电容;高规格用料;五年质保;高效节能;标准尺寸;全球耐压;主动PFC;非模组设计;温控静音;标准ATX,1033531,20万+,1033531
电脑电源 600W 自营,半岛铁盒（PADO）额定600W 战戟PSR750 白色 台式机电脑主机电源（主动式PFC/智能温控/双管正激/支持背线）G600,149.00,半岛铁盒（PADO）京东自营旗舰店,PSR750白/600W/直出线,5000+,jfs/t1/239881/21/7344/93613/6621ec50F58cf4b4d/a2ece90bec042d9e.jpg,1000343082,智能温控;静音风扇;非模组化;背线支持;稳定支持;高效能源;简洁设计;强劲转换;ATX标准;可靠性能,100108859554,7000+,100108859554
电脑电源 600W 自营,长城（Great Wall）额定650W X6白色金牌全模电脑电源（ATX3.1标准/漏电监测/全电压/温控风扇/长线材/支持5060显卡）,379.00,长城 GreatWall 京东自营旗舰店,650W金牌 X6全模白 ATX3.1,50万+,jfs/t1/378979/38/19795/162902/6954857bFb809bb3c/3663ddc115b058f4.jpg,1000007264,超60万人关注店铺;45万+人浏览;长线材,100082360823,70万+,100082360823
电脑电源 600W 自营,爱国者（aigo）黑暗骑士DH600W白牌 黑色 台式机电脑电源 80PLUS认证/单路12V/压纹线/可走背线GP600,179.00,爱国者DIY京东自营旗舰店,白牌|DH600W黑|压纹线,20万+,jfs/t1/276942/31/23331/63602/6801ba0dF4619c7f9/b701b3981e6cd763.jpg,1000000416,大单路12V;压纹线;600W白牌;性能卓越;白牌直出;高效转换;高效供电;80PLUS;背线设计;黑色经典,100095133747,40万+,100095133747
电脑电源 600W 自营,Thermaltake（Tt）额定600W Smart 600W 电脑电源（80PLUS认证/主动式PFC/智能温控风扇/支持背线）,209.00,Thermaltake京东自营旗舰店,Smart 600W - 80PLUS认证,1万+,jfs/t1/426588/9/11666/153057/69f2ea50F61a89a29/00835a05a0b7f035.jpg,1000000692,PLUS认证;稳定供电;背线支持;智能温控;高效能;标准ATX;背线设计;长久耐用;简单安装;高效节能,100081143382,1万+,100081143382
电脑电源 600W 自营,半岛铁盒（PADO）额定600W 战戟PSR750 黑色 台式电脑主机电源（主动式PFC/智能温控/12CM风扇/支持背线）G600,159.00,半岛铁盒（PADO）京东自营旗舰店,PSR750黑/600W/直出线,5000+,jfs/t1/93688/29/21887/80415/65ea7da3Fce3c7d6b/10f25a5f6d0f3367.jpg,1000343082,温控静音;安规3C;主动式PFC;超低噪音;优质材料;智能温控;高效转换;稳定输出;背线设计;支持背线,100136380662,7000+,100136380662
电脑电源 600W 自营,长城（Great Wall）SPARK 氮化镓S6 650W台式电脑电源金牌全模组ATX3.1/单路12V/自动启停/支持40系50系显卡,419.00,长城 GreatWall 京东自营旗舰店,氮化镓650W金牌电源,5000+,jfs/t1/404158/11/21519/376000/69bd199dF2c3b201a/0258320320d92592.jpg,1000007264,超60万人关注店铺;1千+店铺粉丝浏览,100318532966,9000+,100318532966
电脑电源 600W 自营,爱国者（aigo）猎影HUNT600 额定600W 台式电脑电源 主动式PFC/宽幅输出/高品质电容/支持背线/大单路12V,179.00,爱国者DIY京东自营旗舰店,新品|猎影HUNT600W|安规,20万+,jfs/t1/420434/32/351/84765/69dc9306F9e51e714/0083320320a47214.jpg,1000000416,额定600W;高品质电容;主动式PFC,100342307994,40万+,100342307994
电脑电源 600W 自营,大水牛（BUBALUS）额定600W 劲强600台式电脑电源（主动式PFC/12CM风扇/智能温控/支持背线/宽幅电压）,159.90,大水牛京东自营旗舰店,劲强600W,20万+,jfs/t1/387293/4/21805/68226/697c77d7F2afdf70d/00833203202606f6.jpg,1000000707,支持背线;主动式PFC;宽幅电压;大风量散热;智能温控;稳定输出;标准ATX;适应多场景;便捷安装;非模组接线,100010993118,70万+,100010993118
电脑电源 600W 自营,VISENCH威神BR1000CH ups不间断电源1000VA/600W 办公电脑ups电源稳压后备电源 家用商用停电应急备用电源,178.00,VISENCH京东自营旗舰店,1KVA/600W【普通办公电脑优选】,1万+,jfs/t1/381280/31/20788/131872/69621538Fb6558f70/6fe1a20cfa4b3583.jpg,1000149646,一键消音;应急备用;LCD大屏显示;断电延时,100063163911,2万+,100063163911
电脑电源 600W 自营,长城（Great Wall）额定650W X6金牌全模电脑电源（ATX3.1标准/漏电监测/全电压/单路12V/70cm长线材/支持5060显卡）,369.00,长城 GreatWall 京东自营旗舰店,650W金牌 X6全模黑 漏电监测,50万+,jfs/t1/377856/5/16914/127146/69539dabF0a6d4191/97e71efb1577c0fa.jpg,1000007264,40万+人加购;近7日热销商品;100万+人浏览,100011575915,70万+,100011575915
电脑电源 600W 自营,爱国者（aigo）黑暗骑士DH600W白牌 白色 台式机电脑电源 80PLUS认证/单路12V/压纹线/可走背线GP600,189.00,爱国者DIY京东自营旗舰店,白牌|DH600W白|压纹线,20万+,jfs/t1/270779/7/23738/64702/6801ba0eF27a16ea9/e1e4eeee1a097963.jpg,1000000416,全白压纹线;大单路12V;600W白牌;转换效率高;600W强劲;白牌直出;散热优良;性能稳定;外观简约;高效转换,100107590608,40万+,100107590608
电脑电源 600W 自营,九州风神（DEEPCOOL）PF600D直出电源额定600W台式机主机电源80PLUS白牌PF600D-HA,189.00,九州风神 京东自营旗舰店,PF600（白牌直出/600W）,2000+,jfs/t1/411326/21/7873/71244/69cb2afbFa5d849c8/0083320320f1b121.jpg,1000000461,600W;白牌电源;直出电源;标准尺寸;经济实惠;高效能;白牌认证;耐用性强;稳定输出;便捷安装,100147394238,5000+,100147394238
电脑电源 600W 自营,普迪盾PD1000 ups不间断电源 1000VA/600W 家用台式机电脑监控停电备用稳压ups电源,229.00,普迪盾（pudidun）UPS电源京东自营旗舰店,1000VA/600W【人气热销】,500+,jfs/t1/400841/19/5645/150788/69a8e341F05a61c53/00833203203ca645.jpg,1000650492,USB通讯口;600W大功率;家用办公;监控备用;电脑保护;不间断供电;5年主机质保;全自动稳压,100271845636,800+,100271845636
电脑电源 600W 自营,山克ups电源办公家用续航600W,229.00,山克ups电源京东自营旗舰店,SK1000A/600W【人气畅销】,20万+,jfs/t1/426158/10/3733/131031/69ec2075F7f290e8f/00833203209c1f85.jpg,1000116401,持续供电;负载支撑;停电防护;快速切换,8631651,20万+,8631651
电脑电源 600W 自营,山特（SANTAK) UPS不间断电源应急后备式 家用电脑办公断电保护停电电源 TG1000/1000VA/600W带2台电脑 ,498.00,山特（SANTAK）工业品京东自营专区,TG1000/1000VA/600W带2台电脑,1000+,jfs/t1/107077/14/39256/69195/643e40d6F359ee896/5d20e6162285b26d.jpg,1000398981,断电续航;应急后备;双机供电;断电保护;家用适配;家用办公;紧急备用;节能高效;内置电池;浪涌保护,100104072753,1000+,100104072753
电脑电源 600W 自营,动力火车/迅钛电脑电源/金牌/铜牌/白牌850W/750W/650W/600W/500W/400W电脑主机电源游戏电竞电源 迅钛白牌600W电源（直出）,169.00,京喜自营官方店,迅钛白牌600W电源（直出）,100+,jfs/t1/415493/36/13350/621102/69dda372F15602d56/0935320320450ccf.png,13496968,稳定供电;游戏专用;标准ATX;直流输出;多重保护;高效节能,10214905428627,100+,10214905428627
电脑电源 600W 自营,APC施耐德ups不间断电源BP1000CH办公电脑ups电源600W 稳压后备电源家用停电应急备用电源,633.00,APC 3C 京东自营旗舰店,BP1000CH,2万+,jfs/t1/410077/19/19904/113520/69ce3230F0d2fa05f/0083320320d95b27.jpg,1000279743,防止断电;浪涌保护;安全保护;高效供电;智能管理;应急备用;轻松安装;稳压护航;家用适宜;可靠耐用,100004104345,5万+,100004104345
电脑电源 600W 自营,雷迪司UPS不间断电源D1000K 600W办公电脑服务器停电应急稳压后备电源 家用停电应急备用电源,238.00,雷迪司（LADIS）京东自营旗舰店,D1000K/600W基础办公电脑适用,5万+,jfs/t1/407992/17/14408/67193/69c4f7c8Fa7b90225/008332032092e69c.jpg,1000278768,停电稳压续航;600W后背式;不间断电源;稳压保护;防止断电;办公常备;USB接口;应急备用;4-6小时充电;30分钟续航,100091121745,10万+,100091121745
电脑电源 600W 自营,APC ups不间断电源 BR1000G-CN 600W/1KVA nas电脑网络设备商务办公停电稳压应急备用,1385.00,施耐德电气APC工业品京东自营专卖店, BR1000G-CN,1000+,jfs/t1/289992/5/6084/41291/6826a1d0Fbcf130f6/c286c1cef30eb403.jpg,1000486096,网络设备;稳压应急;停电备用;商务办公;1KVA容量;600W功率;不间断供电;电脑保护,100175333655,2000+,100175333655
电脑电源 600W 自营,山特（SANTAK) UPS不间断电源应急后备式 家用电脑办公断电保护停电电源 MT1000/1000VA/600W 软件管理 ,798.00,山特（SANTAK）工业品京东自营专区,MT1000/1000VA/600W软件管理,1000+,jfs/t1/217516/22/25428/87031/643e40bdFa3c22f16/db4afbddf5b96ecb.jpg,1000398981,智能稳压;软件管理;内置电池;节能高效;应急后备;断电保护;家用办公;紧急备用,100120423800,1000+,100120423800
电脑电源 600W 自营,雷迪司H1000M ups不间断电源1000VA/600W兼容群晖NAS威联通家用办公电脑服务器稳压应急后备电源,298.00,雷迪司（LADIS）京东自营旗舰店,H1000M/600W【人气紧俏】,5万+,jfs/t1/174938/14/49984/78399/674e766aF085b87e0/b73d04087bf6082c.jpg,1000278768,断电保护;内置电池;兼容群晖NAS威联通;应急后备;服务器专用;扩展兼容;家庭办公优选;高效稳压;稳定输出;安全稳定供电,1034891,10万+,1034891
电脑电源 600W 自营,APC施耐德ups不间断电源BR1000G-CN 600W/1KVA nas电脑网络设备商务办公停电稳压应急备用ups电源,1359.00,APC 3C 京东自营旗舰店,BR1000G-CN,2万+,jfs/t1/396772/23/13703/122743/69a6a68aF7891d4d0/0083320320ce88b7.jpg,1000279743,LCD显示;AVR调压;智能应急;商务办公;稳压设计;高效稳定;稳压应急;600W大功率;NAS通讯;600W输出,100007023252,5万+,100007023252
电脑电源 600W 自营,爱国者（aigo）御风JV19黑MATX小机箱+750DK白牌额定600W电源,328.00,爱国者DIY京东自营旗舰店,JV19黑+750DK白牌电源,5万+,jfs/t1/401365/26/12312/125142/69afc8bbF7935982c/0083320320475561.jpg,1000000416,水冷兼容;单面透光;单面透侧;迷你设计;小巧便携,100323370202,10万+,100323370202
电脑电源 600W 自营,雷迪司H1000 ups不间断电源1000VA/600W家用办公电脑服务器宿舍备用电源兼容群晖NAS威联通稳压应急电源,445.00,雷迪司（LADIS）京东自营旗舰店,H1000/600W【双电池】加长续航,5万+,jfs/t1/235838/38/19945/72828/66722c5dFc3ad6d7a/b9989746bd456a26.jpg,1000278768,智能软件;防浪涌;防干扰;稳压应急;高效稳压;兼容多种;使用简便;家用办公;适合宿舍;紧急备用,1034884,10万+,1034884
电脑电源 600W 自营,山克SK1000 ups不间断电源 1000VA 600W家用办公电脑稳压备用应急ups电源,388.00,山克ups电源京东自营旗舰店,SK1000/600W【双电池】加长续航,20万+,jfs/t1/424733/1/8732/134254/69ec2487F24f997c5/00833203209200e4.jpg,1000116401,稳压续航;内置双电池;加长续航;稳定供电;零损伤保护;负载能力强;高效稳压;便捷使用;1000VA容量;应急备用,8631623,20万+,8631623
电脑电源 600W 自营,山特（SANTAK) UPS不间断电源应急后备式 家用电脑办公断电保护停电电源 K1000/1KVA/600W 智能稳压保护 ,678.00,山特（SANTAK）工业品京东自营专区,K1000/1KVA/600W智能稳压保护,1000+,jfs/t1/148688/3/31497/70634/643e40a0F535a1c44/f79add114f2a0d31.jpg,1000398981,家用办公;断电保护;应急后备;智能稳压;断电续航;家用适配;电脑专用;不间断供电;办公应备;600W功率,100120423774,1000+,100120423774
电脑电源 600W 自营,山特（SANTAK）TG1000 后备式ups不间断电源电脑收银机路由器备用 1000VA/600W 京仓发货,498.00,山特（SANTAK）京东自营旗舰店,TG1000（1000VA/600W）,1万+,jfs/t1/378564/28/13696/117234/694f78ecF42118e05/46b346a390809f7d.png,1000303921,断电续航;多仓发货;台式适用;内置电池,100038420102,2万+,100038420102
电脑电源 700W 自营,长城（Great Wall）额定700W HOPE-8000DS电脑电源（双8PIN/75cm长线材/宽幅/温控风扇/4显卡接口/独立开关）,299.00,长城 GreatWall 京东自营旗舰店,700W直出【HOPE-8000DS 温控】,50万+,jfs/t1/289757/38/15506/434634/68898a84Fd9944446/f9395ba5f25b54b4.png,1000007264,900+人收藏;25万+人浏览;3万+人加购,100020728060,90万+,100020728060
电脑电源 700W 自营,爱国者（aigo）额定700W 黑暗骑士850DK 台式机电脑电源（主动式PFC/宽幅温控/支持背线/长线材）,199.00,爱国者DIY京东自营旗舰店,850DK|700W|主动式PFC,20万+,jfs/t1/159253/7/51944/85293/673bf392F5421cf98/4f27252d413b96bb.jpg,1000000416,宽幅温控;额定700W;压纹扁线;非模组接线;支持背线;节能环保;高效能;稳定输出;标准ATX;主动式PFC,100012001241,40万+,100012001241
电脑电源 700W 自营,酷冷至尊（CoolerMaster）额定700W G700游戏电源  金牌/单路12V/40C无损输出/降噪风扇/电脑组件,339.00,酷冷至尊京东自营旗舰店,G700金牌/40º无损输出/质保五年,2万+,jfs/t1/174825/6/5446/239705/607e9c33E29fd7a73/b643e5e56653bea2.jpg,1000000442,40°无损输出;静音风扇;700W强劲;额定700W;降噪设计;稳定性能;标准ATX;金牌高效;高效转换;低噪运行,100016458210,4万+,100016458210
电脑电源 700W 自营,爱国者（aigo）黑暗骑士850DK 额定700W白牌 台式机电脑电源 主动式PFC/80PLUS认证/高品质电容/支持背线GP700xy,209.00,爱国者DIY京东自营旗舰店,新升级白牌|850DK|额定700W,20万+,jfs/t1/421674/32/2358/324638/69e1f1b1F6370cc26/00833203200a328e.jpg,1000000416,额定700W;高品质电容;80PLUS白牌;节能环保;高效转换;主动PFC;主动式PFC,100240478329,40万+,100240478329
